"Make","Model","Year","Engine_Fuel_Type","Engine_HP","Engine_Cylinders","Transmission_Type","Driven_Wheels","Number_of_Doors","Market_Category","Vehicle_Size","Vehicle_Style","highway_MPG","city_mpg","Popularity","MSRP","obs_number"
"Chrysler","200",2017,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",28,18,1013,30863.3333333333,63
"Chrysler","200",2017,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,24857.5,64
"Nissan","200SX",1996,"regular unleaded",115,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",36,26,2009,2000,65
"Nissan","200SX",1996,"regular unleaded",140,4,"MANUAL","front wheel drive",2,"Performance","Compact","Coupe",29,21,2009,2000,66
"Nissan","200SX",1997,"regular unleaded",140,4,"MANUAL","front wheel drive",2,"Performance","Compact","Coupe",29,21,2009,2000,67
"Nissan","200SX",1997,"regular unleaded",115,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",35,25,2009,2000,68
"Nissan","200SX",1998,"regular unleaded",115,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",35,25,2009,2000,69
"Nissan","200SX",1998,"regular unleaded",140,4,"MANUAL","front wheel drive",2,"Performance","Compact","Coupe",28,20,2009,2073,70
"Nissan","240SX",1996,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,3616.5,71
"Nissan","240SX",1997,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",26,19,2009,4066.33333333333,72
"Nissan","240SX",1998,"regular unleaded",155,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Coupe",25,20,2009,4366.33333333333,73
"Volvo","240",1991,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Wagon",26,19,870,2000,74
"Volvo","240",1991,"regular unleaded",114,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Wagon",23,18,870,2000,75
"Volvo","240",1991,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Sedan",26,19,870,2000,76
"Volvo","240",1992,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Sedan",26,19,870,2000,77
"Volvo","240",1992,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Wagon",26,19,870,2000,78
"Volvo","240",1993,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Sedan",26,19,870,2000,79
"Volvo","240",1993,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Wagon",25,18,870,2000,80
"Mazda","2",2012,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,15275,81
"Mazda","2",2012,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,16115,82
"Mazda","2",2013,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,16305,83
"Mazda","2",2013,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,15465,84
"Mazda","2",2014,"regular unleaded",100,4,"AUTOMATIC","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",34,28,586,16305,85
"Mazda","2",2014,"regular unleaded",100,4,"MANUAL","front wheel drive",4,"Hatchback","Compact","4dr Hatchback",35,29,586,15465,86
"BMW","3 Series Gran Turismo",2015,"premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,20,3916,47250,87
"BMW","3 Series Gran Turismo",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",33,22,3916,41850,88
"BMW","3 Series Gran Turismo",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",34,22,3916,43000,89
"BMW","3 Series Gran Turismo",2016,"premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,20,3916,49200,90
"BMW","3 Series Gran Turismo",2017,"premium unleaded (required)",320,6,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury,Performance","Midsize","4dr Hatchback",30,20,3916,49650,91
"BMW","3 Series Gran Turismo",2017,"premium unleaded (required)",248,4,"AUTOMATIC","all wheel drive",4,"Hatchback,Luxury","Midsize","4dr Hatchback",33,23,3916,43950,92
"BMW","3 Series",2015,"premium unleaded (required)",241,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",33,22,3916,41950,93
"BMW","3 Series",2015,"premium unleaded (required)",335,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance,Hybrid","Midsize","Sedan",33,25,3916,50150,94
"BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",35,23,3916,37500,95
"BMW","3 Series",2015,"premium unleaded (required)",300,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",32,21,3916,43750,96
"BMW","3 Series",2015,"diesel",180,4,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",45,32,3916,39000,97
"BMW","3 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",33,22,3916,39500,98
"BMW","3 Series",2015,"premium unleaded (required)",180,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",35,23,3916,34950,99
"BMW","3 Series",2015,"premium unleaded (required)",300,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,20,3916,45750,100
"BMW","3 Series",2015,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Wagon",43,31,3916,43450,101
"BMW","3 Series",2015,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Sedan",43,31,3916,41000,102
"BMW","3 Series",2015,"premium unleaded (required)",180,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",36,24,3916,32950,103
"BMW","3 Series",2016,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Sedan",40,30,3916,41850,104
"BMW","3 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",33,22,3916,47800,105
"BMW","3 Series",2016,"diesel",180,4,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",42,32,3916,39850,106
"BMW","3 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",34,22,3916,38350,107
"BMW","3 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",34,22,3916,40350,108
"BMW","3 Series",2016,"premium unleaded (required)",240,4,"MANUAL","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",34,22,3916,38350,109
"BMW","3 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",34,22,3916,42650,110
"BMW","3 Series",2016,"premium unleaded (required)",180,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",36,24,3916,33150,111
"BMW","3 Series",2016,"premium unleaded (required)",180,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",35,23,3916,35150,112
"BMW","3 Series",2016,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Wagon",40,30,3916,44150,113
"BMW","3 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",33,22,3916,45800,114
"BMW","3 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",34,23,3916,38750,115
"BMW","3 Series",2017,"premium unleaded (recommended)",180,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",34,23,3916,35450,116
"BMW","3 Series",2017,"premium unleaded (recommended)",180,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",35,23,3916,33450,117
"BMW","3 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",33,23,3916,40750,118
"BMW","3 Series",2017,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Sedan",40,30,3916,42250,119
"BMW","3 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",33,23,3916,42950,120
"BMW","3 Series",2017,"diesel",180,4,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",42,32,3916,40250,121
"BMW","3 Series",2017,"premium unleaded (recommended)",320,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",31,21,3916,49900,122
"BMW","3 Series",2017,"premium unleaded (recommended)",320,6,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",32,21,3916,47900,123
"BMW","3 Series",2017,"diesel",180,4,"AUTOMATIC","all wheel drive",4,"Diesel,Luxury","Midsize","Wagon",40,30,3916,44450,124
"Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Large","Sedan",19,15,617,2178,125
"Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Wagon",20,15,617,2000,126
"Mercedes-Benz","300-Class",1991,"regular unleaded",158,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",22,17,617,2000,127
"Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",20,15,617,2105,128
"Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",18,15,617,2199,129
"Mercedes-Benz","300-Class",1991,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",22,16,617,2000,130
"Mercedes-Benz","300-Class",1991,"regular unleaded",228,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",21,14,617,3552,131
"Mercedes-Benz","300-Class",1991,"regular unleaded",217,6,"AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","Coupe",22,15,617,2179,132
"Mercedes-Benz","300-Class",1991,"diesel",121,5,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",30,23,617,2000,133
"Mercedes-Benz","300-Class",1992,"diesel",121,5,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",29,23,617,2000,134
"Mercedes-Benz","300-Class",1992,"regular unleaded",228,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Large","Sedan",17,14,617,2377,135
"Mercedes-Benz","300-Class",1992,"regular unleaded",228,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",21,15,617,3814,136
"Mercedes-Benz","300-Class",1992,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",19,15,617,2207,137
"Mercedes-Benz","300-Class",1992,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Wagon",20,15,617,2000,138
"Mercedes-Benz","300-Class",1992,"regular unleaded",217,6,"AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","Coupe",21,15,617,2248,139
"Mercedes-Benz","300-Class",1992,"regular unleaded",177,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",22,16,617,2065,140
"Mercedes-Benz","300-Class",1992,"diesel",148,6,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Large","Sedan",22,18,617,2547,141
"Mercedes-Benz","300-Class",1992,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",18,15,617,2282,142
"Mercedes-Benz","300-Class",1992,"regular unleaded",158,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",23,18,617,2000,143
"Mercedes-Benz","300-Class",1993,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",19,15,617,2544,144
"Mercedes-Benz","300-Class",1993,"regular unleaded",217,6,"AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","Coupe",22,17,617,2397,145
"Mercedes-Benz","300-Class",1993,"diesel",121,5,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Midsize","Sedan",30,23,617,2000,146
"Mercedes-Benz","300-Class",1993,"regular unleaded",228,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",21,14,617,4174,147
"Mercedes-Benz","300-Class",1993,"regular unleaded",217,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",22,17,617,2187,148
"Mercedes-Benz","300-Class",1993,"diesel",148,6,"AUTOMATIC","rear wheel drive",4,"Diesel,Luxury","Large","Sedan",22,18,617,2729,149
"Mercedes-Benz","300-Class",1993,"regular unleaded",177,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",19,15,617,2433,150
"Mercedes-Benz","300-Class",1993,"regular unleaded",194,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",23,17,617,2247,151
"Mercedes-Benz","300-Class",1993,"regular unleaded",228,6,"AUTOMATIC","rear wheel drive",4,"Luxury","Large","Sedan",18,14,617,2540,152
"Mitsubishi","3000GT",1997,"regular unleaded",218,6,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",23,17,436,3941,153
"Mitsubishi","3000GT",1997,"regular unleaded",161,6,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",22,17,436,3295,154
"Mitsubishi","3000GT",1997,"regular unleaded",320,6,"MANUAL","all wheel drive",2,"Hatchback,Factory Tuner,Performance","Compact","2dr Hatchback",22,16,436,6008,155
"Mitsubishi","3000GT",1998,"regular unleaded",320,6,"MANUAL","all wheel drive",2,"Hatchback,Factory Tuner,Performance","Compact","2dr Hatchback",22,16,436,6710,156
"Mitsubishi","3000GT",1998,"regular unleaded",161,6,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",22,17,436,3701,157
"Mitsubishi","3000GT",1998,"regular unleaded",218,6,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",23,17,436,4671,158
"Mitsubishi","3000GT",1999,"regular unleaded",218,6,"MANUAL","front wheel drive",2,"Hatchback,Performance","Compact","2dr Hatchback",23,17,436,5306,159
"Mitsubishi","3000GT",1999,"regular unleaded",320,6,"MANUAL","all wheel drive",2,"Hatchback,Factory Tuner,Performance","Compact","2dr Hatchback",22,16,436,7600,160
"Mitsubishi","3000GT",1999,"regular unleaded",161,6,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",22,17,436,4090,161
"Chrysler","300",2015,"regular unleaded",300,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,37570,162
"Chrysler","300",2015,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"N/A","Large","Sedan",31,19,1013,34882.5,163
"Chrysler","300",2015,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,39886.6666666667,164
"Chrysler","300",2015,"regular unleaded",300,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",31,19,1013,35070,165
"Chrysler","300",2015,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",31,19,1013,42395,166
"Chrysler","300",2016,"regular unleaded",300,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,38342.5,167
"Chrysler","300",2016,"regular unleaded",300,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",31,19,1013,35842.5,168
"Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,39690,169
"Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"N/A","Large","Sedan",31,19,1013,35356.6666666667,170
"Chrysler","300",2016,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",31,19,1013,42690,171
"Chrysler","300",2017,"regular unleaded",292,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,40415,172
"Chrysler","300",2017,"regular unleaded",300,6,"AUTOMATIC","all wheel drive",4,"N/A","Large","Sedan",27,18,1013,38422.5,173
"Chrysler","300",2017,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",30,19,1013,40702.5,174
"Chrysler","300",2017,"regular unleaded",300,6,"AUTOMATIC","rear wheel drive",4,"Performance","Large","Sedan",30,19,1013,35922.5,175
"Chrysler","300",2017,"regular unleaded",292,6,"AUTOMATIC","rear wheel drive",4,"N/A","Large","Sedan",30,19,1013,32340,176
"Chrysler","300M",2002,"premium unleaded (required)",250,6,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",24,16,1013,30302.5,177
"Chrysler","300M",2003,"premium unleaded (required)",255,6,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",25,16,1013,32315,178
"Chrysler","300M",2003,"regular unleaded",250,6,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",25,16,1013,28885,179
"Chrysler","300M",2004,"regular unleaded",250,6,"AUTOMATIC","front wheel drive",4,"Performance","Large","Sedan",25,16,1013,29185,180
